epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.42,1.10761,2.2456,1.36722,0.77935,0.125,0.4824,0.23568,1.67118,3.45763,1.74277,0.00058,0.00058,0.00058
2,259.877,0.98366,1.70945,1.25276,0.10344,0.125,0.05175,0.02317,1.89001,4.00126,2.34451,0.00115664,0.00115664,0.00115664
3,383.069,1.10425,1.67472,1.33432,0.74856,0.49639,0.58105,0.16174,2.38491,3.15459,2.91759,0.00170951,0.00170951,0.00170951
4,504.845,1.07216,1.49296,1.30237,0.7699,0.29167,0.31539,0.11025,2.40111,3.64719,3.46745,0.0018812,0.0018812,0.0018812
5,623.012,0.99693,1.29588,1.27352,0.6415,0.52245,0.56161,0.22485,1.91868,3.04517,2.47108,0.0018416,0.0018416,0.0018416
6,745.442,0.98822,1.18589,1.23002,0.73879,0.8252,0.73764,0.23982,1.96962,1.63789,2.46984,0.001802,0.001802,0.001802
7,869.478,0.95782,1.14214,1.21055,0.49145,0.75,0.58203,0.27699,1.65168,1.91241,1.85905,0.0017624,0.0017624,0.0017624
8,987.421,0.88563,1.00258,1.19215,0.65166,0.54582,0.6018,0.28947,2.01735,1.87442,2.07973,0.0017228,0.0017228,0.0017228
9,1110.45,0.9078,1.02397,1.20346,0.88554,0.16667,0.28261,0.13252,2.15224,2.3751,2.3106,0.0016832,0.0016832,0.0016832
10,1229.06,0.86084,0.95418,1.17788,0.50968,0.66667,0.55231,0.21892,1.96354,1.90312,2.24124,0.0016436,0.0016436,0.0016436
11,1344.11,0.8257,0.89402,1.15133,0.80266,0.84776,0.82798,0.4127,1.44009,1.75421,1.6685,0.001604,0.001604,0.001604
12,1464.46,0.8431,0.92114,1.16811,0.78432,0.79167,0.81393,0.40423,1.71683,1.22627,1.72947,0.0015644,0.0015644,0.0015644
13,1588.43,0.81801,0.80233,1.13351,0.75166,0.83333,0.7869,0.38551,1.71185,1.2281,1.84957,0.0015248,0.0015248,0.0015248
14,1709.1,0.85167,0.85675,1.16179,0.72472,0.70833,0.76223,0.423,1.53518,1.36731,1.61506,0.0014852,0.0014852,0.0014852
15,1827.81,0.8055,0.82582,1.14805,0.70013,0.79167,0.75526,0.37326,1.74895,1.3011,1.76101,0.0014456,0.0014456,0.0014456
16,1950.81,0.77984,0.80423,1.13933,0.68303,0.75,0.71409,0.3834,1.4364,1.24834,1.72614,0.001406,0.001406,0.001406
17,2069.6,0.79445,0.76839,1.13772,0.82454,0.875,0.77774,0.40254,1.69152,1.38628,1.94571,0.0013664,0.0013664,0.0013664
18,2192.69,0.75723,0.756,1.12422,0.82708,0.875,0.82026,0.42538,1.65127,1.07631,1.94285,0.0013268,0.0013268,0.0013268
